YEAR,MEASURE,SUB-MEASURE,SUB-MEASURE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,UNITS
2009,Economic Impact,Indirect Expenditure,Indirect Expenditure,"4,798","5,361","6,024","11,538","13,576","11,208","14,159","17,044","12,431","9,239","5,268","4,806","115,452",£000s
2009,Economic Impact,Direct Revenue,Direct Revenue,"12,295","13,493","15,342","29,425","34,630","28,632","36,213","43,465","31,817","23,661","13,779","12,509","295,260",£000s
2009,Economic Impact,VAT,VAT,"1,844","2,024","2,301","4,414","5,194","4,295","5,432","6,520","4,773","3,549","2,067","1,876","44,289",£000s
2009,Economic Impact,Serviced Accommodation,Serviced Accommodation,"4,911","4,840","5,544","7,819","8,560","8,274","11,285","12,304","9,279","9,188","6,890","5,994","94,887",£000s
2009,Economic Impact,Non-Serviced Accommodation,Non-Serviced Accommodation,"4,080","5,252","5,525","9,454","16,484","14,370","18,436","22,453","14,438","8,421","4,478","4,056","127,448",£000s
2009,Economic Impact,SFR,SFR,860,266,297,636,452,338,537,560,311,307,238,699,"5,502",£000s
2009,Economic Impact,Day Visitor,Day Visitor,"9,087","10,519","12,300","27,468","27,905","21,152","25,545","31,711","24,993","18,532","9,509","8,443","227,164",£000s
2009,Economic Impact,Accommodation,Accommodation,"2,811","2,947","3,212","4,530","5,555","5,254","8,480","9,599","5,636","5,116","3,526","3,151","59,820",£000s
2009,Economic Impact,Food & Drink,Food & Drink,"3,040","3,376","3,845","7,662","9,027","7,354","8,698","10,564","8,196","5,908","3,328","3,046","74,045",£000s
2009,Economic Impact,Recreation,Recreation,"1,145","1,281","1,478","3,049","3,671","2,957","3,500","4,282","3,288","2,262","1,252","1,137","29,302",£000s
2009,Economic Impact,Shopping,Shopping,"3,728","4,142","4,789","10,028","11,353","9,011","10,730","13,149","10,191","7,276","3,944","3,602","91,943",£000s
2009,Economic Impact,Transport,Transport,"1,570","1,746","2,017","4,155","5,023","4,055","4,805","5,871","4,506","3,098","1,730","1,572","40,150",£000s
2009,Economic Impact,Direct Expenditure,Direct Expenditure,"14,139","15,517","17,643","33,839","39,824","32,927","41,645","49,985","36,590","27,210","15,846","14,385","339,549",£000s
2009,Population,Total,Total,"38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000",Persons
2009,Employment,Serviced Accommodation,Serviced Accommodation,"2,177","2,193","2,244","2,398","2,447","2,427","2,553","2,622","2,498","2,484","2,330","2,265","2,387",FTEs
2009,Employment,Non-Serviced Accommodation,Non-Serviced Accommodation,"1,843","1,962","2,098","2,582","3,377","3,132","3,300","3,685","3,135","2,402","1,938","1,862","2,610",FTEs
2009,Employment,SFR,SFR,119,37,41,88,63,47,74,78,43,43,33,97,64,FTEs
2009,Employment,Day Visitor,Day Visitor,"1,242","1,437","1,681","3,753","3,813","2,890","3,490","4,333","3,415","2,532","1,299","1,154","2,586",FTEs
2009,Employment,Direct Employment,Direct Employment,"5,382","5,629","6,063","8,822","9,700","8,496","9,418","10,717","9,091","7,461","5,600","5,378","7,646",FTEs
2009,Employment,Indirect Employment,Indirect Employment,762,852,957,"1,833","2,157","1,780","2,249","2,707","1,975","1,468",837,763,"1,528",FTEs
2009,Employment,Total,Total,"6,144","6,480","7,020","10,655","11,856","10,277","11,667","13,425","11,066","8,929","6,437","6,141","9,175",FTEs
2009,Employment,Accommodation,Accommodation,"3,372","3,393","3,494","3,553","3,556","3,556","3,557","3,562","3,557","3,533","3,429","3,396","3,496",FTEs
2009,Employment,Food & Drink,Food & Drink,716,796,906,"1,805","2,127","1,733","2,049","2,489","1,931","1,392",784,718,"1,454",FTEs
2009,Employment,Recreation,Recreation,327,366,422,872,"1,050",846,"1,001","1,224",940,647,358,325,698,FTEs
2009,Employment,Shopping,Shopping,801,890,"1,029","2,154","2,439","1,936","2,305","2,824","2,189","1,563",847,774,"1,646",FTEs
2009,Employment,Transport,Transport,165,184,212,437,529,427,506,618,474,326,182,166,352,FTEs
2009,Visitor Days,Serviced Accommodation,Serviced Accommodation,52,53,61,87,96,92,115,126,105,103,77,66,"1,031",000s
2009,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,90,116,124,218,389,337,373,458,338,189,100,90,"2,821",000s
2009,Visitor Days,SFR,SFR,23,7,8,17,12,9,14,15,8,8,6,18,144,000s
2009,Visitor Days,Day Visitor,Day Visitor,315,364,426,951,967,733,885,"1,098",866,642,329,292,"7,868",000s
2009,Visitor Days,Total,Total,479,540,619,"1,273","1,463","1,171","1,386","1,697","1,316",942,512,467,"11,865",000s
2009,Visitor Numbers,Serviced Accommodation,Serviced Accommodation,33,33,35,55,54,52,60,63,59,58,47,41,592,000s
2009,Visitor Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,13,17,19,38,61,52,52,64,47,31,17,14,425,000s
2009,Visitor Numbers,SFR,SFR,9,3,4,6,5,4,6,6,4,4,3,7,61,000s
2009,Visitor Numbers,Day Visitor,Day Visitor,315,364,426,951,967,733,885,"1,098",866,642,329,292,"7,868",000s
2009,Visitor Numbers,Total,Total,370,418,484,"1,051","1,087",840,"1,002","1,230",976,735,396,355,"8,945",000s
2009,Vehicle Days,Serviced Accommodation,Serviced Accommodation,15,20,24,25,30,28,33,36,30,33,25,19,319,000s
2009,Vehicle Days,Non-Serviced Accommodation,Non-Serviced Accommodation,26,42,37,59,115,100,102,124,100,51,29,21,804,000s
2009,Vehicle Days,SFR,SFR,6,2,2,5,3,3,4,4,2,2,2,5,41,000s
2009,Vehicle Days,Day Visitor,Day Visitor,75,99,116,214,217,188,199,247,206,174,89,69,"1,894",000s
2009,Vehicle Days,Total,Total,122,163,179,303,366,319,338,411,338,260,145,114,"3,058",000s
2009,Vehicle Numbers,Serviced Accommodation,Serviced Accommodation,10,13,14,16,17,16,17,18,17,18,16,12,184,000s
2009,Vehicle Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,4,6,6,10,18,15,14,17,14,8,5,3,121,000s
2009,Vehicle Numbers,SFR,SFR,3,1,1,2,2,1,2,2,1,1,1,2,17,000s
2009,Vehicle Numbers,Day Visitor,Day Visitor,75,99,116,214,217,188,199,247,206,174,89,69,"1,894",000s
2009,Vehicle Numbers,Total,Total,91,119,137,242,254,221,232,284,238,202,111,87,"2,216",000s
2009,Accommodation,Serviced Accommodation,Serviced Accommodation,"6,464","6,481","6,506","6,515","6,515","6,515","6,515","6,515","6,515","6,515","6,495","6,482","6,515",Bed Spaces
2009,Accommodation,Non-Serviced Accommodation,Non-Serviced Accommodation,"11,971","12,644","17,827","21,088","21,097","21,097","21,102","20,990","21,092","19,760","14,455","12,882","21,102",Bed Spaces
2009,Accommodation,Total,Total,"18,434","19,125","24,333","27,603","27,612","27,612","27,617","27,505","27,607","26,275","20,950","19,364","27,617",Bed Spaces
2009,Economic Impact,Total,Total,"18,937","20,878","23,667","45,377","53,401","44,135","55,804","67,029","49,021","36,449","21,114","19,191","455,001",£000s
2010,Economic Impact,Indirect Expenditure,Indirect Expenditure,"3,520","5,282","6,418","11,913","13,660","13,443","15,154","17,550","14,515","9,422","5,152","4,322","120,352",£000s
2010,Economic Impact,Direct Revenue,Direct Revenue,"9,137","13,282","16,286","29,907","34,521","33,799","37,784","43,868","36,469","23,875","13,277","11,102","303,306",£000s
2010,Economic Impact,VAT,VAT,"1,599","2,324","2,850","5,234","6,041","5,915","6,612","7,677","6,382","4,178","2,323","1,943","53,079",£000s
2010,Economic Impact,Serviced Accommodation,Serviced Accommodation,"4,813","6,073","7,270","9,621","10,879","10,702","12,400","13,794","11,020","10,561","7,205","5,849","110,188",£000s
2010,Economic Impact,Non-Serviced Accommodation,Non-Serviced Accommodation,"2,321","4,787","5,386","9,425","16,441","18,377","19,875","24,567","17,674","8,149","4,363","3,608","134,974",£000s
2010,Economic Impact,SFR,SFR,767,271,310,659,468,379,560,590,343,316,242,692,"5,597",£000s
2010,Economic Impact,Day Visitor,Day Visitor,"6,356","9,756","12,587","27,348","26,435","23,698","26,714","30,144","28,328","18,450","8,942","7,219","225,977",£000s
2010,Economic Impact,Accommodation,Accommodation,"2,324","3,273","3,766","5,179","6,298","6,482","9,159","10,375","6,557","5,477","3,581","2,964","65,434",£000s
2010,Economic Impact,Food & Drink,Food & Drink,"2,205","3,234","3,998","7,675","8,835","8,647","9,028","10,547","9,368","5,882","3,156","2,661","75,236",£000s
2010,Economic Impact,Recreation,Recreation,823,"1,215","1,524","3,018","3,570","3,484","3,599","4,253","3,777","2,243","1,183",988,"29,678",£000s
2010,Economic Impact,Shopping,Shopping,"2,643","3,895","4,906","9,915","10,917","10,391","11,060","12,849","11,590","7,194","3,722","3,121","92,203",£000s
2010,Economic Impact,Transport,Transport,"1,142","1,665","2,092","4,120","4,901","4,794","4,938","5,844","5,177","3,079","1,634","1,368","40,755",£000s
2010,Economic Impact,Direct Expenditure,Direct Expenditure,"10,736","15,606","19,136","35,140","40,562","39,714","44,396","51,545","42,851","28,053","15,600","13,045","356,385",£000s
2010,Population,Total,Total,"38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000",Persons
2010,Employment,Serviced Accommodation,Serviced Accommodation,"2,163","2,246","2,331","2,483","2,566","2,555","2,617","2,708","2,590","2,536","2,319","2,229","2,445",FTEs
2010,Employment,Non-Serviced Accommodation,Non-Serviced Accommodation,"1,697","1,919","2,083","2,535","3,320","3,500","3,317","3,784","3,426","2,364","1,925","1,824","2,641",FTEs
2010,Employment,SFR,SFR,101,36,41,87,62,50,74,78,45,42,32,91,62,FTEs
2010,Employment,Day Visitor,Day Visitor,828,"1,270","1,639","3,561","3,442","3,086","3,478","3,925","3,689","2,402","1,164",940,"2,452",FTEs
2010,Employment,Direct Employment,Direct Employment,"4,788","5,471","6,094","8,666","9,389","9,190","9,486","10,495","9,749","7,345","5,441","5,085","7,600",FTEs
2010,Employment,Indirect Employment,Indirect Employment,533,800,972,"1,803","2,068","2,035","2,294","2,657","2,197","1,426",780,654,"1,518",FTEs
2010,Employment,Total,Total,"5,321","6,270","7,065","10,469","11,457","11,226","11,780","13,152","11,947","8,771","6,221","5,739","9,118",FTEs
2010,Employment,Accommodation,Accommodation,"3,383","3,405","3,512","3,569","3,583","3,572","3,594","3,604","3,594","3,550","3,441","3,406","3,518",FTEs
2010,Employment,Food & Drink,Food & Drink,506,742,917,"1,761","2,027","1,984","2,071","2,420","2,149","1,350",724,610,"1,438",FTEs
2010,Employment,Recreation,Recreation,229,338,424,840,994,970,"1,002","1,184","1,051",625,329,275,689,FTEs
2010,Employment,Shopping,Shopping,553,815,"1,026","2,074","2,283","2,173","2,313","2,688","2,424","1,505",779,653,"1,607",FTEs
2010,Employment,Transport,Transport,117,171,214,422,502,491,506,599,531,316,167,140,348,FTEs
2010,Visitor Days,Serviced Accommodation,Serviced Accommodation,50,64,77,103,116,116,123,137,118,113,76,61,"1,155",000s
2010,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,50,103,117,209,376,419,382,484,402,178,95,78,"2,892",000s
2010,Visitor Days,SFR,SFR,19,7,8,17,12,10,14,15,9,8,6,17,142,000s
2010,Visitor Days,Day Visitor,Day Visitor,212,326,420,913,882,791,892,"1,006",946,616,299,241,"7,544",000s
