Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2009,Economic Impact,Indirect Expenditure,Indirect Expenditure,3885.723661,4417.172132,5032.131201,10147.49174,11822.24244,9567.522752,11929.86561,14454.82209,10655.47327,7667.476114,4183.265359,3823.536643,97586.72302,£000s
2009,Economic Impact,Direct Revenue,Direct Revenue,9698.369382,10873.79548,12506.9626,25432.7348,29695.39531,23999.48322,29929.3224,36236.60627,26803.49731,19156.77746,10586.09086,9655.105915,244574.141,£000s
2009,Economic Impact,VAT,VAT,1454.755407,1631.069322,1876.04439,3814.91022,4454.309296,3599.922484,4489.39836,5435.49094,4020.524596,2873.516619,1587.913629,1448.265887,36686.12115,£000s
2009,Economic Impact,Serviced Accommodation,Serviced Accommodation,2093.667764,2172.866658,2491.697554,3654.040936,4066.172323,3902.019579,5304.736116,5707.910241,4487.266214,4313.013722,3155.779977,2746.167339,44095.33842,£000s
2009,Economic Impact,Non-Serviced Accommodation,Non-Serviced Accommodation,2998.202272,3963.887349,4326.398788,7636.938513,13548.92019,11774.79973,14961.27686,18147.61512,11688.34596,6545.907957,3454.786713,3038.524139,102085.6036,£000s
2009,Economic Impact,SFR,SFR,860.1716096,266.1085446,297.1360498,635.9236021,452.1588933,338.2031524,537.4537872,560.2049302,311.0813098,306.6951865,238.1435994,698.8352646,5502.11593,£000s
2009,Economic Impact,Day Visitor,Day Visitor,9086.806804,10519.17438,12299.9058,27468.23372,27904.69564,21151.906,25545.11961,31711.18902,24992.80169,18532.15332,9508.55956,8443.381702,227163.9272,£000s
2009,Economic Impact,Accommodation,Accommodation,1426.44067,1607.764189,1747.328381,2559.879973,3337.56433,3114.157469,5110.581518,5783.485869,3314.474516,2814.210726,1824.654093,1637.4485,34277.99023,£000s
2009,Economic Impact,Food & Drink,Food & Drink,2569.78853,2876.415683,3314.076213,6887.940837,8015.553092,6419.072905,7604.057182,9288.38918,7179.419297,5050.559623,2743.367045,2522.375344,64471.01493,£000s
2009,Economic Impact,Recreation,Recreation,995.8857338,1121.173843,1305.963685,2790.121988,3310.521095,2629.716555,3118.047701,3831.398839,2935.33723,1985.411884,1066.226365,970.3362776,26060.1412,£000s
2009,Economic Impact,Shopping,Shopping,3349.751549,3752.452255,4370.99632,9417.436403,10529.60494,8254.712457,9845.890821,12114.56144,9379.924047,6612.137338,3495.533444,3195.065738,84318.06674,£000s
2009,Economic Impact,Transport,Transport,1356.502899,1515.989507,1768.598002,3777.3556,4502.151854,3581.823837,4250.745178,5218.770945,3994.342215,2694.457887,1456.309914,1329.880056,35446.9279,£000s
2009,Economic Impact,Direct Expenditure,Direct Expenditure,11153.12479,12504.8648,14383.00699,29247.64502,34149.7046,27599.40571,34418.72076,41672.09721,30824.0219,22030.29408,12174.00449,11103.3718,281260.2621,£000s
2009,Population,Total,Total,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,Persons
2009,Employment,Serviced Accommodation,Serviced Accommodation,1242.868077,1258.738644,1279.91556,1363.251519,1390.607199,1378.772334,1440.679743,1469.58667,1420.392481,1405.752062,1324.862116,1293.377392,1355.73365,FTEs
2009,Employment,Non-Serviced Accommodation,Non-Serviced Accommodation,1395.252549,1495.684837,1611.675772,2022.681922,2693.174983,2487.096656,2629.55895,2942.807829,2477.128427,1848.153046,1491.950318,1418.169545,2042.777903,FTEs
2009,Employment,SFR,SFR,119.2078224,36.87894341,41.17892413,88.13016724,62.66293428,46.87025341,74.48362034,77.63661236,43.11154323,42.50368753,33.00339093,96.84884873,63.54306233,FTEs
2009,Employment,Day Visitor,Day Visitor,1241.543943,1437.250458,1680.554443,3753.025672,3812.660114,2890.016411,3490.267727,4332.746972,3414.803708,2532.075702,1299.16865,1153.631814,2586.478801,FTEs
2009,Employment,Direct Employment,Direct Employment,3998.872392,4228.552883,4613.324699,7227.089279,7959.105229,6802.755653,7634.99004,8822.778084,7355.436158,5828.484498,4148.984475,3962.027599,6048.533416,FTEs
2009,Employment,Indirect Employment,Indirect Employment,617.2364515,701.6555707,799.3401172,1611.900985,1877.930499,1519.774515,1895.026142,2296.108493,1692.592444,1217.957364,664.500127,607.3582158,1291.781744,FTEs
2009,Employment,Total,Total,4616.108843,4930.208454,5412.664816,8838.990264,9837.035729,8322.530169,9530.016182,11118.88658,9048.028603,7046.441862,4813.484602,4569.385815,7340.31516,FTEs
2009,Employment,Accommodation,Accommodation,2246.307379,2264.628421,2333.987813,2385.887429,2388.229143,2388.229143,2389.430463,2387.178892,2389.251792,2366.865799,2293.588391,2263.968417,2341.462757,FTEs
2009,Employment,Food & Drink,Food & Drink,605.4939022,677.7414311,780.8630613,1622.937501,1888.625645,1512.462779,1791.668926,2188.531447,1691.615693,1190.013504,646.3924941,594.3224012,1265.889066,FTEs
2009,Employment,Recreation,Recreation,284.7514203,320.5747742,373.4113277,797.7734514,946.570025,751.9090783,891.5365302,1095.503454,839.2945264,567.684459,304.8637624,277.4461204,620.9432441,FTEs
2009,Employment,Shopping,Shopping,719.5284931,806.0288284,938.8924372,2022.87057,2261.764988,1773.11682,2114.902817,2602.214525,2014.812895,1420.290773,750.8425251,686.3018951,1509.297297,FTEs
2009,Employment,Transport,Transport,142.7911971,159.5794278,186.1700597,397.6203281,473.9154284,377.0378328,447.4513048,549.3497661,420.4612512,283.629963,153.297303,139.9887647,310.9410522,FTEs
2009,Visitor Days,Serviced Accommodation,Serviced Accommodation,22.35253642,24.41217684,27.91287544,41.79170202,46.5620154,44.51860041,55.38807808,60.17274724,51.71409642,49.24942097,36.05073201,30.78355685,490.9085381,000s
2009,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,66.25836786,87.55262365,97.06330482,176.4160053,319.7544184,276.2514618,306.496192,375.6124084,274.1043359,147.1669545,77.38818649,67.43817276,2271.502432,000s
2009,Visitor Days,SFR,SFR,22.56763513,6.981677229,7.795721089,16.68421937,11.86293155,8.873165842,14.10074552,14.69764908,8.161591733,8.04651652,6.247983311,18.33478238,144.3546188,000s
2009,Visitor Days,Day Visitor,Day Visitor,314.7308532,364.34237,426.0198252,951.3903859,966.5076912,732.6179113,884.7813606,1098.349485,865.6512642,641.8800963,329.3386915,292.4451663,7868.055101,000s
2009,Visitor Days,Total,Total,425.9093926,483.2888478,558.7917265,1186.282313,1344.687057,1062.261139,1260.766376,1548.83229,1199.631288,846.3429883,449.0255933,409.0016782,10774.82069,000s
